type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,real_timestamp
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,1031277488,0,68,0,0,1031.45,384,[68 64 4 0 0 0 0 0 0 0 0 0 9 1 11 2 10 3 12 4 11 4 11 5 12 5 12 6 12 7 12 6 13 7 13 8 13 8 13 8 12 9 13 10 12 10 12 9 11 10 12 10 11 10 11 11 11 10 11 11 11 11 12 11 0 0 11 11 12 11 12 11 12 10 11 10 11 10 11 11 11 9 12 10 11 7 13 9 12 9 12 8 14 9 13 9 14 9 14 9 14 8 15 9 15 7 15 9 15 8 16 7 16 7 16 7 16 7 0 0 0 0 0 0 0 0 0 0 ],1786834299.742677
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,1031291157,0,68,0,0,1031.46,384,[68 64 4 0 0 0 0 0 0 0 0 0 5 10 5 10 4 12 5 13 4 13 4 13 4 14 3 14 2 15 2 15 2 17 2 17 1 17 1 17 0 17 0 19 -1 18 -1 17 -1 17 -1 17 -2 17 -2 18 -1 16 -2 18 -2 18 -1 18 0 0 -1 18 -2 18 -2 19 -1 18 -1 17 -1 18 -1 18 0 17 0 18 1 18 2 19 0 17 1 18 3 18 1 17 2 19 3 18 4 19 3 19 4 18 4 19 4 19 5 18 5 19 5 19 5 19 0 0 0 0 0 0 0 0 0 0 ],1786834299.764428
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031295842,0,68,0,0,1031.47,384,[68 64 4 0 0 0 0 0 0 0 0 0 8 -8 8 -7 8 -8 9 -8 9 -8 10 -7 10 -7 11 -7 12 -7 12 -7 13 -7 14 -6 14 -6 14 -6 14 -6 15 -5 15 -5 14 -5 14 -4 14 -4 14 -4 15 -4 14 -3 14 -4 15 -4 15 -3 0 0 15 -3 15 -4 15 -4 15 -4 14 -4 15 -4 15 -4 15 -5 15 -4 14 -5 15 -5 15 -6 15 -5 15 -7 15 -6 16 -7 15 -7 15 -7 15 -7 15 -9 15 -8 15 -8 15 -9 15 -9 15 -8 15 -9 0 0 0 0 0 0 0 0 0 0 ],1786834299.769922
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031305257,0,68,0,0,1031.48,384,[68 64 4 0 0 0 0 0 0 0 0 0 -9 5 -10 6 -10 5 -12 6 -11 5 -12 5 -12 5 -13 5 -13 4 -13 5 -15 4 -15 4 -16 4 -16 4 -16 4 -16 2 -17 2 -15 2 -16 2 -16 2 -16 2 -16 1 -16 2 -16 1 -17 1 -17 0 0 0 -16 1 -16 1 -17 1 -15 0 -16 2 -16 2 -17 1 -16 2 -17 1 -15 2 -17 2 -16 3 -16 4 -17 3 -15 2 -17 4 -16 4 -15 5 -17 5 -16 5 -16 6 -17 5 -16 6 -16 7 -16 7 -17 7 0 0 0 0 0 0 0 0 0 0 ],1786834299.778711
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031317734,0,68,0,0,1031.49,384,[68 64 4 0 0 0 0 0 0 0 0 0 2 6 2 6 1 7 1 7 1 7 1 8 1 8 0 8 0 8 0 9 -1 9 -1 10 -1 9 -1 9 -2 9 -2 10 -3 10 -2 9 -3 10 -2 9 -3 9 -3 9 -2 9 -3 9 -3 9 -3 9 0 0 -3 9 -3 9 -3 10 -2 9 -3 10 -2 9 -3 9 -2 9 -2 10 -2 9 -2 10 -2 9 -1 10 0 10 -2 9 0 10 -1 10 -2 10 -1 11 1 9 0 10 -2 11 2 10 0 11 0 10 1 9 0 0 0 0 0 0 0 0 0 0 ],1786834299.792710
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-62,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,1031335599,0,68,0,0,1031.51,384,[68 64 4 0 0 0 0 0 0 0 0 0 -4 -10 -4 -12 -4 -12 -3 -13 -2 -13 -1 -13 -1 -14 0 -14 1 -14 0 -14 2 -16 2 -16 3 -16 4 -16 4 -15 6 -16 5 -15 5 -14 6 -16 7 -15 6 -14 8 -15 7 -13 9 -14 9 -14 8 -14 0 0 9 -13 9 -14 8 -14 8 -14 9 -13 11 -15 11 -14 9 -13 10 -11 11 -14 9 -16 7 -15 6 -14 8 -15 9 -14 9 -18 12 -12 12 -13 10 -19 12 -17 10 -14 8 -8 8 -9 11 -16 16 -13 11 -24 0 0 0 0 0 0 0 0 0 0 ],1786834299.810382
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031341506,0,68,0,0,1031.51,384,[68 64 4 0 0 0 0 0 0 0 0 0 10 2 10 3 10 4 11 4 10 4 11 5 11 5 11 6 11 6 11 7 12 7 12 8 12 8 12 9 11 9 12 10 12 10 10 10 11 10 11 10 11 10 10 11 10 10 11 11 10 11 11 11 0 0 11 11 11 11 11 10 10 11 11 10 12 10 10 11 11 10 11 9 11 9 12 9 12 8 14 9 13 9 13 8 14 8 14 8 14 8 14 8 14 7 15 8 14 7 14 7 15 7 15 7 16 6 0 0 0 0 0 0 0 0 0 0 ],1786834299.814386
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031348930,0,68,0,0,1031.52,384,[68 64 4 0 0 0 0 0 0 0 0 0 8 -6 9 -6 8 -6 11 -6 10 -6 12 -6 12 -5 12 -5 13 -4 12 -5 13 -4 15 -4 15 -4 15 -3 15 -2 15 -2 16 -2 14 -1 16 -2 15 -1 15 -1 15 -1 14 -1 16 -1 16 -1 16 -1 0 0 15 0 15 -1 16 -1 14 -1 15 -1 15 -1 15 -1 15 -2 15 -1 14 -2 15 -3 15 -3 15 -3 16 -3 14 -3 17 -3 15 -4 16 -4 16 -4 15 -4 16 -5 16 -4 15 -5 16 -6 16 -6 16 -6 0 0 0 0 0 0 0 0 0 0 ],1786834299.822084
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-64,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,1031354489,0,68,0,0,1031.53,384,[68 64 4 0 0 0 0 0 0 0 0 0 3 12 -1 10 -1 13 0 13 1 11 -2 14 -3 13 0 14 -4 14 -3 14 -2 14 -4 16 -6 17 -6 15 -8 17 -6 15 -6 17 -6 16 -8 16 -7 16 -8 16 -8 16 -8 15 -8 16 -8 16 -7 17 0 0 -7 17 -8 16 -8 16 -6 16 -7 16 -7 16 -7 16 -6 16 -7 16 -6 17 -4 17 -5 17 -4 17 -4 18 -3 17 -4 19 -3 18 -2 19 -3 18 -1 18 -2 19 -2 18 -2 18 -1 20 0 19 -1 19 0 0 0 0 0 0 0 0 0 0 ],1786834299.827912
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,1,1,1,1,1,0,0,0,-96,1,6,1,1031367299,0,68,0,0,1031.54,384,[68 64 4 0 0 0 0 0 0 0 0 0 11 0 12 1 13 2 13 2 13 3 14 3 14 4 14 5 14 6 14 6 16 7 16 7 15 8 15 8 14 8 15 10 15 10 14 10 14 10 14 10 14 10 14 10 13 10 14 11 14 12 14 11 0 0 14 11 14 11 14 11 15 10 14 10 15 10 14 10 15 9 15 10 16 9 17 9 15 8 16 9 17 8 15 9 17 8 17 8 17 7 17 9 17 6 17 8 18 7 18 6 19 6 18 7 19 6 0 0 0 0 0 0 0 0 0 0 ],1786834299.839810
