type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,real_timestamp
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460586491,0,68,0,0,460.757,384,[68 64 4 0 0 0 0 0 0 0 0 0 -11 5 -10 5 -11 6 -10 6 -12 7 -13 6 -11 3 -11 3 -12 4 -13 5 -13 6 -13 6 -14 5 -13 6 -13 3 -16 5 -14 4 -14 5 -14 4 -15 4 -13 5 -15 3 -14 5 -14 5 -15 4 -15 4 0 0 -16 3 -16 6 -15 5 -16 6 -16 4 -15 4 -16 5 -14 6 -16 3 -17 6 -18 5 -14 6 -15 5 -16 5 -17 5 -16 6 -17 6 -17 5 -17 5 -17 7 -18 5 -18 6 -18 7 -18 8 -17 6 -17 7 0 0 0 0 0 0 0 0 0 0 ],1786836758.745904
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460592581,0,68,0,0,460.763,384,[68 64 4 0 0 0 0 0 0 0 0 0 -10 3 -11 5 -11 5 -13 6 -12 6 -12 5 -13 5 -13 6 -13 6 -14 5 -15 5 -18 4 -16 3 -16 4 -15 4 -18 4 -16 5 -14 3 -16 5 -16 5 -17 5 -17 3 -16 2 -17 5 -19 1 -18 5 0 0 -17 3 -18 4 -19 4 -19 2 -17 3 -18 3 -18 5 -18 4 -18 4 -19 5 -19 4 -18 2 -19 4 -18 6 -19 4 -19 5 -20 5 -20 6 -22 6 -19 7 -19 5 -20 5 -19 6 -20 5 -20 5 -20 4 0 0 0 0 0 0 0 0 0 0 ],1786836758.745904
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460604277,0,68,0,0,460.775,384,[68 64 4 0 0 0 0 0 0 0 0 0 -9 -7 -10 -9 -12 -8 -9 -8 -10 -10 -11 -9 -10 -10 -10 -10 -11 -10 -10 -10 -12 -11 -11 -9 -11 -13 -11 -11 -10 -11 -11 -12 -12 -14 -12 -12 -11 -14 -9 -15 -9 -13 -13 -14 -10 -13 -11 -15 -12 -14 -11 -14 0 0 -11 -15 -11 -15 -12 -16 -11 -15 -11 -15 -11 -16 -10 -15 -11 -15 -11 -16 -12 -15 -13 -15 -12 -15 -12 -16 -12 -15 -13 -15 -13 -16 -12 -16 -13 -16 -12 -15 -12 -16 -12 -16 -13 -16 -13 -18 -14 -17 -14 -16 -13 -15 0 0 0 0 0 0 0 0 0 0 ],1786836758.762104
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460614527,0,68,0,0,460.785,384,[68 64 4 0 0 0 0 0 0 0 0 0 -7 9 -8 9 -8 11 -9 10 -8 10 -8 11 -7 10 -10 9 -9 11 -10 11 -12 12 -11 11 -10 11 -10 11 -12 11 -13 13 -12 11 -12 11 -12 12 -13 10 -14 11 -13 12 -15 10 -12 11 -13 12 -14 11 0 0 -14 11 -15 12 -14 12 -14 12 -14 11 -15 12 -14 13 -14 11 -15 11 -14 11 -15 13 -14 11 -14 13 -14 13 -15 11 -15 14 -15 12 -15 13 -15 13 -15 13 -16 13 -15 14 -15 14 -14 15 -15 14 -15 14 0 0 0 0 0 0 0 0 0 0 ],1786836758.778103
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460622995,0,68,0,0,460.794,384,[68 64 4 0 0 0 0 0 0 0 0 0 -8 8 -9 10 -8 9 -9 9 -8 9 -9 9 -9 11 -10 10 -9 11 -9 10 -11 11 -11 10 -12 13 -13 10 -11 12 -13 12 -13 11 -14 10 -12 11 -13 12 -13 12 -13 11 -13 10 -12 12 -14 12 -15 12 0 0 -13 11 -13 13 -14 12 -13 10 -11 13 -13 13 -14 13 -12 13 -14 14 -13 16 -12 15 -12 14 -12 15 -13 14 -12 16 -13 16 -13 15 -12 15 -12 17 -12 16 -12 16 -10 17 -11 16 -11 17 -12 15 -13 16 0 0 0 0 0 0 0 0 0 0 ],1786836758.778103
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-73,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,460635526,0,68,0,0,460.806,384,[68 64 4 0 0 0 0 0 0 0 0 0 -8 7 -8 6 -10 8 -11 7 -10 7 -9 7 -12 6 -11 7 -11 6 -12 7 -12 7 -13 8 -12 8 -12 8 -13 7 -15 7 -13 7 -13 7 -14 7 -14 7 -14 8 -14 6 -13 6 -14 9 -14 7 -14 7 0 0 -16 7 -15 8 -15 7 -14 8 -15 9 -15 7 -15 7 -15 8 -14 8 -14 9 -15 10 -14 10 -14 10 -15 9 -16 8 -15 10 -16 11 -15 10 -17 10 -16 10 -17 10 -15 9 -15 11 -15 11 -15 12 -15 10 0 0 0 0 0 0 0 0 0 0 ],1786836758.793866
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460644426,0,68,0,0,460.815,384,[68 64 4 0 0 0 0 0 0 0 0 0 -12 6 -10 6 -12 6 -11 6 -13 7 -14 6 -14 6 -12 6 -13 8 -12 6 -14 7 -15 7 -13 6 -14 6 -15 7 -15 6 -16 6 -16 6 -15 6 -17 7 -16 6 -16 6 -15 5 -17 6 -17 5 -17 4 0 0 -17 5 -16 4 -18 4 -19 5 -17 6 -17 5 -17 6 -18 5 -20 5 -18 6 -20 7 -19 7 -18 7 -18 7 -19 7 -18 7 -19 6 -19 8 -20 8 -19 8 -20 7 -18 8 -18 7 -19 8 -19 7 -20 8 0 0 0 0 0 0 0 0 0 0 ],1786836758.793866
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460652528,0,68,0,0,460.823,384,[68 64 4 0 0 0 0 0 0 0 0 0 2 12 2 13 3 14 4 14 3 14 2 16 1 16 3 17 2 15 2 17 2 17 1 19 0 20 1 17 2 19 -1 18 2 19 0 17 1 20 -1 18 -1 20 -1 19 0 18 -1 19 -1 18 -1 19 0 0 -1 20 -1 20 0 21 0 19 -1 20 -1 21 -2 20 -1 20 -1 21 -1 22 0 20 0 22 2 22 0 22 0 20 1 23 1 24 2 23 2 22 3 22 2 23 1 23 2 23 3 24 2 21 1 22 0 0 0 0 0 0 0 0 0 0 ],1786836758.809663
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460662610,0,68,0,0,460.833,384,[68 64 4 0 0 0 0 0 0 0 0 0 -11 3 -10 3 -12 3 -11 3 -12 4 -12 3 -12 3 -13 4 -13 2 -13 3 -14 1 -15 3 -14 3 -13 2 -14 1 -15 1 -15 3 -16 2 -17 2 -15 1 -15 2 -15 2 -15 1 -16 0 -14 0 -17 1 0 0 -16 0 -16 3 -17 1 -16 3 -14 2 -18 2 -17 0 -15 2 -16 1 -17 2 -16 2 -18 2 -18 3 -18 2 -17 3 -19 3 -18 2 -17 4 -17 2 -19 4 -19 3 -18 3 -18 3 -18 4 -18 4 -19 3 0 0 0 0 0 0 0 0 0 0 ],1786836758.825353
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-74,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,460672971,0,68,0,0,460.844,384,[68 64 4 0 0 0 0 0 0 0 0 0 5 -8 7 -8 5 -9 8 -10 7 -9 7 -10 7 -9 8 -9 7 -10 9 -10 10 -10 10 -10 10 -11 10 -10 10 -11 10 -10 9 -10 11 -9 11 -11 12 -10 12 -11 11 -11 12 -9 11 -11 12 -10 12 -12 0 0 11 -11 11 -10 11 -10 11 -10 11 -10 11 -12 12 -10 12 -11 12 -10 12 -12 13 -12 11 -13 11 -13 10 -13 12 -12 11 -13 12 -13 11 -13 12 -13 12 -14 11 -14 12 -15 12 -13 12 -15 12 -13 12 -13 0 0 0 0 0 0 0 0 0 0 ],1786836758.825353
