type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,real_timestamp
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222864910,0,68,0,0,223.035,384,[68 64 4 0 0 0 0 0 0 0 0 0 -3 21 -4 22 -5 22 -6 23 -6 21 -7 23 -7 21 -8 22 -8 22 -8 21 -10 21 -10 22 -11 21 -11 21 -11 21 -11 20 -12 22 -10 19 -11 21 -11 19 -10 20 -11 19 -11 18 -11 19 -11 20 -11 20 0 0 -10 19 -9 19 -9 20 -9 18 -9 19 -8 19 -8 19 -7 19 -7 19 -6 19 -6 20 -5 19 -5 19 -5 20 -4 18 -4 21 -4 19 -4 21 -3 20 -2 20 -2 20 -3 20 -2 19 -2 20 -2 19 -1 20 0 0 0 0 0 0 0 0 0 0 ],1786833491.317355
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222878906,0,68,0,0,223.049,384,[68 64 4 0 0 0 0 0 0 0 0 0 9 -20 11 -20 11 -20 14 -20 12 -19 14 -20 14 -19 14 -19 15 -18 14 -17 16 -18 16 -18 16 -18 16 -17 16 -17 18 -17 18 -17 16 -16 17 -16 16 -16 16 -16 16 -15 15 -15 16 -16 16 -15 16 -16 0 0 15 -16 15 -16 15 -16 13 -16 14 -16 14 -17 13 -16 13 -16 13 -16 11 -17 11 -18 11 -17 10 -17 11 -18 10 -17 10 -19 10 -18 10 -19 9 -19 8 -19 8 -19 8 -19 8 -18 8 -19 7 -19 7 -19 0 0 0 0 0 0 0 0 0 0 ],1786833491.333183
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222887999,0,68,0,0,223.058,384,[68 64 4 0 0 0 0 0 0 0 0 0 -20 -8 -22 -9 -21 -10 -22 -12 -20 -11 -22 -14 -20 -13 -20 -14 -19 -15 -18 -15 -20 -16 -19 -16 -19 -17 -18 -17 -18 -18 -17 -18 -18 -19 -16 -17 -17 -18 -15 -18 -16 -18 -15 -18 -13 -16 -15 -18 -15 -17 -16 -18 0 0 -15 -18 -15 -17 -16 -18 -15 -15 -14 -16 -17 -16 -15 -16 -16 -15 -15 -17 -18 -15 -17 -14 -15 -13 -16 -11 -17 -14 -15 -13 -17 -15 -16 -12 -15 -12 -21 -7 -14 -13 -16 -10 -24 -15 -21 -7 -17 -9 -11 -9 -27 -12 0 0 0 0 0 0 0 0 0 0 ],1786833491.349219
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222894547,0,68,0,0,223.065,384,[68 64 4 0 0 0 0 0 0 0 0 0 -14 14 -15 14 -16 14 -17 14 -17 13 -18 12 -18 12 -19 11 -19 11 -19 11 -20 11 -20 11 -20 10 -19 10 -20 10 -21 10 -20 9 -19 9 -20 9 -20 8 -20 8 -20 8 -18 8 -19 9 -19 9 -19 9 0 0 -19 9 -18 9 -18 9 -17 10 -17 9 -17 10 -17 10 -17 10 -16 10 -15 11 -16 12 -14 12 -15 12 -14 12 -14 12 -14 13 -14 12 -13 13 -13 13 -13 13 -13 13 -13 13 -13 14 -12 14 -12 14 -12 14 0 0 0 0 0 0 0 0 0 0 ],1786833491.349219
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222910104,0,68,0,0,223.081,384,[68 64 4 0 0 0 0 0 0 0 0 0 -11 -20 -11 -21 -10 -21 -10 -24 -9 -22 -9 -23 -8 -23 -8 -24 -7 -23 -7 -24 -7 -25 -7 -25 -6 -25 -6 -25 -5 -25 -4 -25 -5 -26 -4 -24 -5 -25 -5 -24 -4 -23 -3 -24 -4 -22 -5 -24 -4 -23 -5 -24 0 0 -4 -23 -5 -21 -6 -23 -6 -21 -6 -21 -7 -21 -6 -22 -7 -21 -7 -21 -8 -20 -9 -20 -9 -20 -9 -19 -10 -20 -9 -19 -10 -20 -9 -19 -11 -20 -11 -20 -12 -19 -11 -19 -11 -18 -12 -18 -12 -18 -12 -18 -13 -17 0 0 0 0 0 0 0 0 0 0 ],1786833491.365399
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222914538,0,68,0,0,223.087,384,[68 64 4 0 0 0 0 0 0 0 0 0 -23 -4 -23 -5 -24 -7 -23 -7 -24 -8 -22 -7 -23 -10 -23 -9 -25 -10 -21 -10 -23 -11 -23 -12 -24 -11 -22 -12 -22 -12 -22 -14 -22 -12 -20 -12 -21 -12 -21 -13 -21 -12 -20 -12 -20 -12 -21 -12 -21 -12 -20 -12 0 0 -20 -11 -21 -11 -20 -11 -20 -10 -20 -10 -21 -10 -20 -9 -21 -8 -20 -8 -20 -7 -21 -7 -20 -6 -21 -6 -21 -5 -21 -6 -22 -6 -21 -5 -21 -4 -22 -4 -21 -3 -22 -4 -21 -4 -21 -3 -22 -2 -21 -2 -21 -2 0 0 0 0 0 0 0 0 0 0 ],1786833491.381360
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222928000,0,68,0,0,223.098,384,[68 64 4 0 0 0 0 0 0 0 0 0 18 -6 20 -6 19 -4 21 -4 20 -4 22 -3 21 -2 22 -2 21 -1 20 -1 22 0 22 0 22 0 22 1 22 0 21 1 21 2 20 1 21 1 21 1 21 1 20 2 18 1 20 1 20 1 20 1 0 0 20 1 19 1 20 0 19 0 19 -1 19 -1 19 -1 18 -2 18 -2 17 -3 19 -3 18 -3 18 -4 18 -4 17 -4 19 -5 18 -4 18 -6 18 -5 17 -6 17 -6 17 -6 16 -6 18 -6 17 -6 17 -8 0 0 0 0 0 0 0 0 0 0 ],1786833491.381360
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-62,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,222939372,0,68,0,0,223.11,384,[68 64 4 0 0 0 0 0 0 0 0 0 -18 8 -19 9 -20 9 -22 8 -21 7 -21 6 -21 6 -22 6 -22 5 -22 5 -24 5 -23 5 -23 4 -23 3 -22 3 -24 3 -23 3 -21 3 -22 2 -21 3 -22 3 -22 3 -20 2 -22 3 -22 2 -21 3 0 0 -21 3 -21 4 -21 4 -19 5 -20 4 -20 5 -20 5 -19 5 -19 6 -18 7 -19 7 -19 7 -18 7 -18 8 -18 7 -19 9 -18 9 -17 9 -18 9 -17 10 -17 9 -16 10 -17 10 -17 11 -17 11 -16 11 0 0 0 0 0 0 0 0 0 0 ],1786833491.397460
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-63,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,222945131,0,68,0,0,223.116,384,[68 64 4 0 0 0 0 0 0 0 0 0 -4 21 -5 22 -6 22 -7 24 -8 22 -9 22 -9 22 -9 22 -10 22 -10 22 -10 23 -10 22 -11 22 -11 22 -12 21 -13 22 -12 22 -11 20 -12 21 -12 20 -12 20 -13 19 -11 19 -11 20 -11 20 -11 21 0 0 -11 20 -10 20 -11 20 -9 20 -9 20 -9 20 -9 20 -7 19 -8 20 -6 20 -5 20 -5 20 -4 21 -5 21 -5 20 -4 21 -4 20 -3 21 -3 21 -3 21 -2 21 -3 20 -1 20 -1 22 -1 20 -1 21 0 0 0 0 0 0 0 0 0 0 ],1786833491.397460
CSI_DATA,AP,1C:C3:AB:B4:06:E0,-61,11,1,2,1,1,1,1,0,0,0,-96,1,6,1,222956833,0,68,0,0,223.127,384,[68 64 4 0 0 0 0 0 0 0 0 0 6 -11 6 -11 7 -11 8 -12 7 -10 8 -10 9 -10 9 -10 9 -10 9 -9 10 -10 10 -10 10 -9 10 -9 10 -9 10 -9 10 -9 9 -8 10 -9 10 -8 10 -8 10 -8 9 -7 10 -8 10 -8 9 -8 0 0 9 -8 9 -8 9 -9 8 -9 8 -8 8 -9 8 -9 8 -9 7 -9 6 -9 7 -10 6 -9 6 -9 7 -10 6 -10 6 -10 6 -10 6 -10 6 -10 5 -11 6 -10 5 -10 5 -10 5 -11 5 -11 5 -10 0 0 0 0 0 0 0 0 0 0 ],1786833491.413520
